dbscan_region_id	region_location	region_key_proteins	protein_id	hit_uniprot_id	identity	evalue
1	116536:159646	NA	ref|EHGHJBNO_00153|116536_120157_+	tr|R4TQM7|R4TQM7_9PHYC	25.5	1.96e-63
1	116536:159646	NA	ref|EHGHJBNO_00157|122429_123869_-	tr|K4JU73|K4JU73_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00158|124002_124572_-	tr|K4JWA1|K4JWA1_9CAUD	100	2.44e-122
1	116536:159646	NA	ref|EHGHJBNO_00159|124585_125380_-	tr|K4JTM2|K4JTM2_9CAUD	100	4.09e-177
1	116536:159646	NA	ref|EHGHJBNO_00160|125549_125774_+	tr|K4JXN9|K4JXN9_9CAUD	100	3.22e-45
1	116536:159646	NA	ref|EHGHJBNO_00161|125878_126052_+	tr|K4K7R5|K4K7R5_9CAUD	100	4.37e-33
1	116536:159646	NA	ref|EHGHJBNO_00162|126027_126174_+	tr|K4JU69|K4JU69_9CAUD	100	1.29e-20
1	116536:159646	NA	ref|EHGHJBNO_00163|126216_126534_+	tr|K4JW96|K4JW96_9CAUD	100	6.56e-70
1	116536:159646	NA	ref|EHGHJBNO_00164|126785_127361_+	tr|K4JTL7|K4JTL7_9CAUD	100	1.52e-84
1	116536:159646	NA	ref|EHGHJBNO_00165|127364_128063_+	tr|K4JXN5|K4JXN5_9CAUD	100	2.32e-161
1	116536:159646	NA	ref|EHGHJBNO_00166|128077_128404_+	tr|K4K7R2|K4K7R2_9CAUD	100	2.63e-75
1	116536:159646	NA	ref|EHGHJBNO_00167|128414_129476_+	tr|K4JU67|K4JU67_9CAUD	100	6.77e-242
1	116536:159646	NA	ref|EHGHJBNO_00168|129465_129987_+	tr|K4JW89|K4JW89_9CAUD	100	7.00e-118
1	116536:159646	NA	ref|EHGHJBNO_00169|129997_130198_+	tr|K4JTL3|K4JTL3_9CAUD	100	2.29e-40
1	116536:159646	NA	ref|EHGHJBNO_00170|130187_130700_+	tr|K4JXN0|K4JXN0_9CAUD	100	5.77e-111
1	116536:159646	NA	ref|EHGHJBNO_00171|130715_130994_+	tr|K4K7Q9|K4K7Q9_9CAUD	100	5.97e-69
1	116536:159646	NA	ref|EHGHJBNO_00172|130998_131787_+	tr|U4KJA1|U4KJA1_9VIRU	93.4	5.65e-185
1	116536:159646	NA	ref|EHGHJBNO_00173|131783_131987_+	tr|K4JW84|K4JW84_9CAUD	100	2.88e-40
1	116536:159646	NA	ref|EHGHJBNO_00174|131983_132418_+	tr|K4JTK7|K4JTK7_9CAUD	100	1.62e-93
1	116536:159646	NA	ref|EHGHJBNO_00175|132428_132866_+	tr|K4JXM6|K4JXM6_9CAUD	100	1.56e-96
1	116536:159646	NA	ref|EHGHJBNO_00176|132867_133605_+	tr|K4K7Q4|K4K7Q4_9CAUD	100	3.17e-170
1	116536:159646	NA	ref|EHGHJBNO_00177|133624_134011_+	tr|K4JU58|K4JU58_9CAUD	100	2.73e-82
1	116536:159646	NA	ref|EHGHJBNO_00178|134010_134133_+	tr|K4JW82|K4JW82_9CAUD	100	1.41e-22
1	116536:159646	NA	ref|EHGHJBNO_00179|134136_134439_+	tr|K4JTK4|K4JTK4_9CAUD	100	4.75e-63
1	116536:159646	NA	ref|EHGHJBNO_00180|134439_134616_+	tr|K4JXM1|K4JXM1_9CAUD	100	9.79e-35
1	116536:159646	NA	ref|EHGHJBNO_00181|134622_134853_+	tr|K4K7P8|K4K7P8_9CAUD	100	4.25e-46
1	116536:159646	NA	ref|EHGHJBNO_00182|134849_135269_+	tr|K4JU53|K4JU53_9CAUD	100	2.44e-97
1	116536:159646	NA	ref|EHGHJBNO_00183|135252_135645_+	tr|K4JW78|K4JW78_9CAUD	100	3.69e-99
1	116536:159646	NA	ref|EHGHJBNO_00184|135641_136022_+	tr|K4JTJ9|K4JTJ9_9CAUD	100	2.17e-87
1	116536:159646	NA	ref|EHGHJBNO_00185|136089_136761_+	tr|K4JXL6|K4JXL6_9CAUD	100	1.36e-169
1	116536:159646	NA	ref|EHGHJBNO_00186|136730_137141_+	tr|K4K7P5|K4K7P5_9CAUD	100	1.38e-86
1	116536:159646	NA	ref|EHGHJBNO_00187|137332_137812_+	tr|K4JU48|K4JU48_9CAUD	100	1.06e-103
1	116536:159646	NA	ref|EHGHJBNO_00188|137798_139112_+	tr|K4JW72|K4JW72_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00189|139124_140708_+	tr|K4JTJ5|K4JTJ5_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00190|140710_141862_+	tr|K4JXL1|K4JXL1_9CAUD	100	1.06e-276
1	116536:159646	NA	ref|EHGHJBNO_00191|142008_142626_+	tr|K4K7P1|K4K7P1_9CAUD	100	4.91e-136
1	116536:159646	NA	ref|EHGHJBNO_00192|142629_143469_+	tr|K4JU44|K4JU44_9CAUD	100	7.53e-195
1	116536:159646	NA	ref|EHGHJBNO_00193|143468_143654_+	tr|K4JW68|K4JW68_9CAUD	100	1.24e-36
1	116536:159646	NA	ref|EHGHJBNO_00194|143631_143859_+	tr|K4JTJ0|K4JTJ0_9CAUD	100	1.33e-44
1	116536:159646	NA	ref|EHGHJBNO_00195|143900_144296_+	tr|K4JXK7|K4JXK7_9CAUD	100	8.06e-90
1	116536:159646	NA	ref|EHGHJBNO_00196|144285_144612_+	tr|K4K7N7|K4K7N7_9CAUD	100	2.53e-73
1	116536:159646	NA	ref|EHGHJBNO_00197|144611_144962_+	tr|K4JU39|K4JU39_9CAUD	100	5.77e-76
1	116536:159646	NA	ref|EHGHJBNO_00198|144963_145371_+	tr|K4JW65|K4JW65_9CAUD	100	5.60e-92
1	116536:159646	NA	ref|EHGHJBNO_00199|145374_145833_+	tr|K4JTI5|K4JTI5_9CAUD	100	1.94e-107
1	116536:159646	NA	ref|EHGHJBNO_00200|145854_146223_+	tr|K4JXK3|K4JXK3_9CAUD	100	3.39e-80
1	116536:159646	NA	ref|EHGHJBNO_00201|146222_146810_+	tr|M1IEU4|M1IEU4_9CAUD	98.5	5.62e-137
1	116536:159646	NA	ref|EHGHJBNO_00202|146829_150117_+	tr|K4JW62|K4JW62_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00203|150113_151616_+	tr|K4JTI1|K4JTI1_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00204|151615_155425_+	tr|K4JXJ8|K4JXJ8_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00205|155438_157502_+	tr|K4K7M8|K4K7M8_9CAUD	100	0.0
1	116536:159646	NA	ref|EHGHJBNO_00206|157563_157827_+	tr|K4JU33|K4JU33_9CAUD	100	1.03e-50
1	116536:159646	NA	ref|EHGHJBNO_00207|157839_158295_+	tr|K4JW58|K4JW58_9CAUD	100	7.91e-102
1	116536:159646	NA	ref|EHGHJBNO_00208|158269_158473_+	tr|K4JTH6|K4JTH6_9CAUD	100	4.09e-40
1	116536:159646	NA	ref|EHGHJBNO_00210|158602_159313_+	tr|K4JXJ3|K4JXJ3_9CAUD	100	8.16e-173
1	116536:159646	NA	ref|EHGHJBNO_00211|159460_159646_+	tr|K4K7M3|K4K7M3_9CAUD	100	9.07e-39
2	617550:628355	NA	ref|EHGHJBNO_00653|617550_619107_-	tr|Q9AZI5|Q9AZI5_9CAUD	42.9	6.52e-84
2	617550:628355	NA	ref|EHGHJBNO_00654|619103_619967_-	tr|A0A1X9I6L2|A0A1X9I6L2_9VIRU	67.7	1.10e-137
2	617550:628355	NA	ref|EHGHJBNO_00655|619947_620235_-	tr|A0A1X9I5U9|A0A1X9I5U9_9VIRU	57.8	8.24e-32
2	617550:628355	NA	ref|EHGHJBNO_00658|620863_621070_-	tr|A0A1X9I725|A0A1X9I725_9VIRU	86.4	5.44e-34
2	617550:628355	NA	ref|EHGHJBNO_00660|621230_621461_-	tr|A0A1X9I5V6|A0A1X9I5V6_9VIRU	91.0	7.87e-36
2	617550:628355	NA	ref|EHGHJBNO_00661|621450_621726_-	tr|A0A1X9I5W5|A0A1X9I5W5_9VIRU	93.4	8.37e-53
2	617550:628355	NA	ref|EHGHJBNO_00662|622110_622734_-	tr|R9QNB1|R9QNB1_9CAUD	44.4	6.26e-37
2	617550:628355	NA	ref|EHGHJBNO_00663|622746_622944_-	tr|A0A1X9I5U5|A0A1X9I5U5_9VIRU	70.8	1.72e-24
2	617550:628355	NA	ref|EHGHJBNO_00665|624338_625505_+	tr|A0A1X9I5Y5|A0A1X9I5Y5_9VIRU	49.6	2.05e-118
