locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHGHJBNO_00001	CDS	1374	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EHGHJBNO_00002	CDS	1137	dnaN		COG0592	Beta sliding clamp
EHGHJBNO_00003	CDS	882	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
EHGHJBNO_00004	CDS	204				hypothetical protein
EHGHJBNO_00005	CDS	228	bcrR			HTH-type transcriptional activator BcrR
EHGHJBNO_00006	CDS	1116	ychF		COG0012	Ribosome-binding ATPase YchF
EHGHJBNO_00007	CDS	570	pth	3.1.1.29		Peptidyl-tRNA hydrolase
EHGHJBNO_00008	CDS	3495	mfd	3.6.4.-		Transcription-repair-coupling factor
EHGHJBNO_00009	CDS	273				hypothetical protein
EHGHJBNO_00010	CDS	369				hypothetical protein
EHGHJBNO_00011	CDS	114				hypothetical protein
EHGHJBNO_00012	CDS	1281				hypothetical protein
EHGHJBNO_00013	CDS	1269	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
EHGHJBNO_00014	CDS	543	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
EHGHJBNO_00015	CDS	1974	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
EHGHJBNO_00016	CDS	471				hypothetical protein
EHGHJBNO_00017	rRNA	1545				16S ribosomal RNA
EHGHJBNO_00018	tRNA	75				tRNA-Ala(tgc)
EHGHJBNO_00019	rRNA	2901				23S ribosomal RNA
EHGHJBNO_00020	rRNA	109				5S ribosomal RNA
EHGHJBNO_00021	tRNA	75				tRNA-Val(tac)
EHGHJBNO_00022	tRNA	73				tRNA-Asp(gtc)
EHGHJBNO_00023	tRNA	73				tRNA-Lys(ttt)
EHGHJBNO_00024	tRNA	84				tRNA-Leu(tag)
EHGHJBNO_00025	tRNA	73				tRNA-Thr(tgt)
EHGHJBNO_00026	tRNA	72				tRNA-Gly(gcc)
EHGHJBNO_00027	tRNA	84				tRNA-Leu(taa)
EHGHJBNO_00028	tRNA	74				tRNA-Arg(acg)
EHGHJBNO_00029	tRNA	76				tRNA-Pro(tgg)
EHGHJBNO_00030	tRNA	76				tRNA-Met(cat)
EHGHJBNO_00031	tRNA	76				tRNA-Met(cat)
EHGHJBNO_00032	tRNA	90				tRNA-Ser(tga)
EHGHJBNO_00033	tRNA	74				tRNA-Met(cat)
EHGHJBNO_00034	tRNA	75				tRNA-Phe(gaa)
EHGHJBNO_00035	tRNA	76				tRNA-Ile(gat)
EHGHJBNO_00036	tRNA	90				tRNA-Ser(gct)
EHGHJBNO_00037	CDS	837	mreC		COG1792	Cell shape-determining protein MreC
EHGHJBNO_00038	CDS	516				hypothetical protein
EHGHJBNO_00039	CDS	1257				hypothetical protein
EHGHJBNO_00040	CDS	969	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
